Other_Sales,EU_Sales,Platform,Global_Sales,JP_Sales,NA_Sales,Name,Rank
0.0,0.0,Pokemon Mystery Dungeon,0.0,0.0,0.0,0,7
4.4,5.68,Pokémon X/YRead the review,0.0,5.06,16.13,0,8
3.82,6.02,Pokémon Sun/Moon,0.0,4.34,15.17,0,9
5.38,6.06,Pokémon Ruby / Sapphire Version,0.0,3.9,15.85,0,10
5.66,5.51,Pokémon Black / White VersionRead the review,0.0,3.2,15.18,0,11
0.0,0.0,"Pokémon: Let's Go, Pikachu/EeveeRead the review",0.0,0.0,0.0,0,12
0.0,0.0,Pokémon Brilliant Diamond / Shining PearlRead the review,0.0,0.0,0.0,0,13
0.0,0.0,Pokémon Legends: ArceusRead the review,0.0,0.0,0.0,0,14
3.12,5.89,Pokémon Yellow: Special Pikachu Edition,0.0,5.04,14.64,0,15
3.15,4.78,Pokémon Omega Ruby/Pokémon Alpha Sapphire,0.0,3.98,12.73,0,16
3.96,4.34,Pokémon Heart Gold / Soul Silver VersionRead the review,0.0,2.72,11.78,0,17
3.15,4.34,Pokémon FireRed / LeafGreen Version,0.0,2.65,10.49,0,18
0.0,0.0,Pokémon Stadium,0.0,0.0,0.0,0,19
2.55,2.46,Pokémon: Ultra Sun and Ultra Moon,0.0,1.74,7.15,0,20
3.16,2.79,Pokémon Black 2 and White 2Read the review,0.0,1.79,8.16,0,21
2.69,2.76,Pokémon Platinum Version,0.0,1.73,7.72,0,22
2.06,2.57,Pokémon Emerald Version,0.0,1.58,6.41,0,23
0.0,0.0,Pokémon Ranger,0.0,0.0,0.0,0,24
0.0,0.0,Pokémon Pinball,0.0,0.0,0.0,0,25
1.29,2.55,Pokémon Crystal Version,0.0,1.56,6.39,0,26
0.0,0.0,Pokémon Snap,0.0,0.0,0.0,0,27
0.94,3.18,Pokémon Stadium,0.0,1.24,5.45,0,28
1.01,3.02,Pokémon Pinball,0.0,1.12,5.31,0,29
1.54,1.83,Pokémon Mystery Dungeon: Explorers of Time / Darkness,0.0,1.19,4.94,0,30
1.38,1.49,Pokémon Trading Card Game,0.0,0.73,3.7,0,31
0.66,2.23,Pokémon Snap,0.0,0.68,3.63,0,32
0.83,1.15,Pokémon Mystery Dungeon: Blue Rescue Team,0.0,0.05,2.03,0,33
0.73,1.28,Pokémon Ranger,0.0,0.03,2.15,0,34
1.13,1.02,Pokémon Stadium 2,0.0,0.36,2.73,0,35
0.7,1.21,Pokémon Colosseum,0.0,0.57,2.54,0,36
0.0,0.0,New Pokémon Snap,0.0,0.0,0.0,0,37
0.74,0.71,Pokémon Mystery Dungeon: Red Rescue Team,0.0,0.52,2.06,0,38
0.62,0.94,Pokémon Ranger: Shadows of Almia,0.0,0.54,2.28,0,39
0.0,0.0,Pokémon Mystery Dungeon: Rescue Team DX,0.0,0.0,0.0,0,40
0.3,0.78,Pokémon Battle Revolution,0.0,0.37,1.59,0,41
0.35,0.51,Pokémon Super Mystery Dungeon,0.0,0.46,1.41,0,42
0.58,0.5,Pokémon Ranger: Guardian Signs,0.0,0.17,1.3,0,43
0.44,0.57,Pokémon Mystery Dungeon: Explorers of Sky,0.0,0.43,1.56,0,44
0.31,0.71,Pokémon XD: Gale of Darkness,0.0,0.19,1.25,0,45
0.35,0.47,Pokémon Rumble BlastRead the review,0.0,0.26,1.15,0,46
0.47,0.44,Pokémon Mystery Dungeon: Gates to Infinity,0.0,0.32,1.31,0,47
0.44,0.68,Pokémon Pinball: Ruby & Sapphire (Old all region sales),0.0,0.38,1.56,0,48
0.0,0.81,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),0.0,0.3,1.13,0,49
0.37,0.56,Pokémon ConquestRead the review,0.0,0.05,1.02,0,50
0.0,0.0,Name:Keyword:Console:-3DO Interactive MultiplayerAcorn ElectronAllAmigaAmiga CD32Amstrad CPCAndroidApple IIArcadeAtari 2600Atari 5200Atari 7800Atari JaguarAtari LynxAtari STBBC MicroBrowserCD-iColecoVisionCommodore 128Commodore 64DSi WareFairchild Channel FFamicom Disk SystemFM TownsGame BoyGame Boy AdvanceGame Boy ColorGameCubeGameGearGizmondoHTC ViveIntellivisioniOSiQueLinuxMac OS XMagnavox OdysseyMicrosoft WindowsMS-DOSMSXN-GageNeo GeoNeo Geo XNintendo 2DSNintendo 3DSNintendo 64Nintendo DSNintendo DSiNintendo Entertainment SystemNintendo SwitchNvidia ShieldOculus RiftOuyaPC-FXPCEPlayStationPlayStation 2PlayStation 3PlayStation 4PlayStation 5PlayStation NetworkPlayStation PortablePlayStation VitaPlaystation VRSega 32XSega CDSega DreamcastSega GenesisSega Master SystemSega SaturnSeriesStandard MobileSuper FamicomSuper Nintendo Entertainment SystemTurboGrafx-16UnknownVirtual BoyVirtual ConsoleWiiWii UWiiWareWindows PhoneWonderSwanXboxXbox 360XBox LiveXbox OneXbox SeriesZX SpectrumRegion:AllAmericaJapanPALDeveloper:Publisher:,0.0,0.0,0.0,Name:Keyword:Console:-3DO Interactive MultiplayerAcorn ElectronAllAmigaAmiga CD32Amstrad CPCAndroidApple IIArcadeAtari 2600Atari 5200Atari 7800Atari JaguarAtari LynxAtari STBBC MicroBrowserCD-iColecoVisionCommodore 128Commodore 64DSi WareFairchild Channel FFamicom Disk SystemFM TownsGame BoyGame Boy AdvanceGame Boy ColorGameCubeGameGearGizmondoHTC ViveIntellivisioniOSiQueLinuxMac OS XMagnavox OdysseyMicrosoft WindowsMS-DOSMSXN-GageNeo GeoNeo Geo XNintendo 2DSNintendo 3DSNintendo 64Nintendo DSNintendo DSiNintendo Entertainment SystemNintendo SwitchNvidia ShieldOculus RiftOuyaPC-FXPCEPlayStationPlayStation 2PlayStation 3PlayStation 4PlayStation 5PlayStation NetworkPlayStation PortablePlayStation VitaPlaystation VRSega 32XSega CDSega DreamcastSega GenesisSega Master SystemSega SaturnSeriesStandard MobileSuper FamicomSuper Nintendo Entertainment SystemTurboGrafx-16UnknownVirtual BoyVirtual ConsoleWiiWii UWiiWareWindows PhoneWonderSwanXboxXbox 360XBox LiveXbox OneXbox SeriesZX SpectrumRegion:AllAmericaJapanPALDeveloper:Publisher:Game of the Year:202420232022202120202019201820172016201520142013201220112010200920082007Genre:ActionAction-AdventureAdventureBoard GameEducationFightingMiscMMOMusicPartyPlatformPuzzleRacingRole-PlayingSandboxShooterSimulationSportsStrategyVisual NovelBox Art:YesNoBothGamewiseBanner:YesNoBothGames Owned:YesNoBothMulti-Platform Games:YesNoResults:102550100200Total Sales:Publisher:VGChartz Score:NA Sales:Developer:Critic Score:PAL Sales:Release Date:User Score:Japan Sales:Last Update:Other Sales:Total Shipped:SearchReset,Game Search (Add new game)Name:Keyword:Console:-3DO Interactive MultiplayerAcorn ElectronAllAmigaAmiga CD32Amstrad CPCAndroidApple IIArcadeAtari 2600Atari 5200Atari 7800Atari JaguarAtari LynxAtari STBBC MicroBrowserCD-iColecoVisionCommodore 128Commodore 64DSi WareFairchild Channel FFamicom Disk SystemFM TownsGame BoyGame Boy AdvanceGame Boy ColorGameCubeGameGearGizmondoHTC ViveIntellivisioniOSiQueLinuxMac OS XMagnavox OdysseyMicrosoft WindowsMS-DOSMSXN-GageNeo GeoNeo Geo XNintendo 2DSNintendo 3DSNintendo 64Nintendo DSNintendo DSiNintendo Entertainment SystemNintendo SwitchNvidia ShieldOculus RiftOuyaPC-FXPCEPlayStationPlayStation 2PlayStation 3PlayStation 4PlayStation 5PlayStation NetworkPlayStation PortablePlayStation VitaPlaystation VRSega 32XSega CDSega DreamcastSega GenesisSega Master SystemSega SaturnSeriesStandard MobileSuper FamicomSuper Nintendo Entertainment SystemTurboGrafx-16UnknownVirtual BoyVirtual ConsoleWiiWii UWiiWareWindows PhoneWonderSwanXboxXbox 360XBox LiveXbox OneXbox SeriesZX SpectrumRegion:AllAmericaJapanPALDeveloper:Publisher:Game of the Year:202420232022202120202019201820172016201520142013201220112010200920082007Genre:ActionAction-AdventureAdventureBoard GameEducationFightingMiscMMOMusicPartyPlatformPuzzleRacingRole-PlayingSandboxShooterSimulationSportsStrategyVisual NovelBox Art:YesNoBothGamewiseBanner:YesNoBothGames Owned:YesNoBothMulti-Platform Games:YesNoResults:102550100200Total Sales:Publisher:VGChartz Score:NA Sales:Developer:Critic Score:PAL Sales:Release Date:User Score:Japan Sales:Last Update:Other Sales:Total Shipped:SearchResetResults: (95)<<12>>ABCDEFGHIJKLMNOPQRSTUVWXYZPosGameConsoleTotal SalesNA SalesPAL SalesJapan SalesOther Sales51Pokémon Card GB2: GRdan Sanjou0.89mN/AN/A0.89mN/A52Pokémon Dash0.77m0.21m0.14m0.38m0.04m53Pokémon Trozei!0.59m0.25m0.00m0.31m0.02m54Pokémon Art Academy0.50m0.18m0.12m0.17m0.03m55Pokémon Pinball: Ruby & Sapphire (JP weekly sales)0.45mN/AN/A0.44m0.01m56Pokémon Puzzle League0.45m0.36m0.08mN/A0.01m57Pokémon Channel0.38m0.24m0.06m0.07m0.01m58Learn with Pokémon: Typing Adventure0.29mN/AN/A0.29mN/A59Pokémon Box: Ruby and Sapphire0.28mN/AN/A0.27m0.01m60Pokémon Gold/Pokémon Silver0.22mN/A0.21mN/A0.01m61Pokémon I Choose You / Squirtle Squad Game Boy Advance Video0.18m0.13m0.05mN/A0.00m62Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video0.17m0.12m0.05mN/A0.00m63Pokémon: Johto Photo Finish: Game Boy Advance Video0.15m0.11m0.04mN/A0.00m64Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video0.13m0.09m0.03mN/A0.00m65Pokémon Crystal Version0.12mN/A0.11mN/A0.01m66Pokémon Rumble World0.11mN/A0.02m0.09m0.00m67Pokémon Rumble U0.00mN/A0.00mN/A0.00m68My Pokémon RanchN/AN/AN/AN/AN/A69Pokémon Battle TrozeiN/AN/AN/AN/AN/A70Pokémon Card Game: Asobikata DSN/AN/AN/AN/AN/A71Pokémon Colosseum Bonus DiscN/AN/AN/AN/AN/A72Pokémon Dream RadarN/AN/AN/AN/AN/A73Pokémon Mystery Dungeon: Go For It! Light Adventure SquadN/AN/AN/AN/AN/A74Pokémon Mystery Dungeon: Keep Going! Blazing Adventure SquadN/AN/AN/AN/AN/A75Pokémon Mystery Dungeon: Let's Go! Stormy Adventure SquadN/AN/AN/AN/AN/A76Pokémon PicrossN/AN/AN/AN/AN/A77Pokémon Puzzle ChallengeN/AN/AN/AN/AN/A78Pokémon Puzzle LeagueN/AN/AN/AN/AN/A79Pokémon RumbleN/AN/AN/AN/AN/A80Pokémon ShuffleN/AN/AN/AN/AN/A81Pokémon SnapN/AN/AN/AN/AN/A82Pokémon Trading Card Game OnlineN/AN/AN/AN/AN/A83The Band of Thieves & 1000 PokémonN/AN/AN/AN/AN/A84Pokémon Café MixN/AN/AN/AN/AN/A85Pokémon GON/AN/AN/AN/AN/A86Pokémon GON/AN/AN/AN/AN/A87Pokémon Legends Z-AN/AN/AN/AN/AN/A88Pokémon QuestN/AN/AN/AN/AN/A89Pokémon Red/Green/Blue/YellowN/AN/AN/AN/AN/A90Pokémon SnapN/AN/AN/AN/AN/A91Pokemon TCG PocketN/AN/AN/AN/AN/A92Pokemon TCG PocketRead the reviewN/AN/AN/AN/AN/A93Pokémon UniteN/AN/AN/AN/AN/A94Pokémon UniteN/AN/AN/AN/AN/A95Pokémon UniteN/AN/AN/AN/AN/AResults: (95)<<12>>
3.3226005200780014e+34,0.0,Name:,0.0,0.0,0.0,Name:Keyword:Console:-3DO Interactive MultiplayerAcorn ElectronAllAmigaAmiga CD32Amstrad CPCAndroidApple IIArcadeAtari 2600Atari 5200Atari 7800Atari JaguarAtari LynxAtari STBBC MicroBrowserCD-iColecoVisionCommodore 128Commodore 64DSi WareFairchild Channel FFamicom Disk SystemFM TownsGame BoyGame Boy AdvanceGame Boy ColorGameCubeGameGearGizmondoHTC ViveIntellivisioniOSiQueLinuxMac OS XMagnavox OdysseyMicrosoft WindowsMS-DOSMSXN-GageNeo GeoNeo Geo XNintendo 2DSNintendo 3DSNintendo 64Nintendo DSNintendo DSiNintendo Entertainment SystemNintendo SwitchNvidia ShieldOculus RiftOuyaPC-FXPCEPlayStationPlayStation 2PlayStation 3PlayStation 4PlayStation 5PlayStation NetworkPlayStation PortablePlayStation VitaPlaystation VRSega 32XSega CDSega DreamcastSega GenesisSega Master SystemSega SaturnSeriesStandard MobileSuper FamicomSuper Nintendo Entertainment SystemTurboGrafx-16UnknownVirtual BoyVirtual ConsoleWiiWii UWiiWareWindows PhoneWonderSwanXboxXbox 360XBox LiveXbox OneXbox SeriesZX SpectrumRegion:AllAmericaJapanPALDeveloper:Publisher:,Name:Keyword:Console:-3DO Interactive MultiplayerAcorn ElectronAllAmigaAmiga CD32Amstrad CPCAndroidApple IIArcadeAtari 2600Atari 5200Atari 7800Atari JaguarAtari LynxAtari STBBC MicroBrowserCD-iColecoVisionCommodore 128Commodore 64DSi WareFairchild Channel FFamicom Disk SystemFM TownsGame BoyGame Boy AdvanceGame Boy ColorGameCubeGameGearGizmondoHTC ViveIntellivisioniOSiQueLinuxMac OS XMagnavox OdysseyMicrosoft WindowsMS-DOSMSXN-GageNeo GeoNeo Geo XNintendo 2DSNintendo 3DSNintendo 64Nintendo DSNintendo DSiNintendo Entertainment SystemNintendo SwitchNvidia ShieldOculus RiftOuyaPC-FXPCEPlayStationPlayStation 2PlayStation 3PlayStation 4PlayStation 5PlayStation NetworkPlayStation PortablePlayStation VitaPlaystation VRSega 32XSega CDSega DreamcastSega GenesisSega Master SystemSega SaturnSeriesStandard MobileSuper FamicomSuper Nintendo Entertainment SystemTurboGrafx-16UnknownVirtual BoyVirtual ConsoleWiiWii UWiiWareWindows PhoneWonderSwanXboxXbox 360XBox LiveXbox OneXbox SeriesZX SpectrumRegion:AllAmericaJapanPALDeveloper:Publisher:Game of the Year:202420232022202120202019201820172016201520142013201220112010200920082007Genre:ActionAction-AdventureAdventureBoard GameEducationFightingMiscMMOMusicPartyPlatformPuzzleRacingRole-PlayingSandboxShooterSimulationSportsStrategyVisual NovelBox Art:YesNoBothGamewiseBanner:YesNoBothGames Owned:YesNoBothMulti-Platform Games:YesNoResults:102550100200Total Sales:Publisher:VGChartz Score:NA Sales:Developer:Critic Score:PAL Sales:Release Date:User Score:Japan Sales:Last Update:Other Sales:Total Shipped:SearchReset
